iter	Logloss
0	0.6747758279
1	0.6626595661
2	0.6507146436
3	0.6399476289
4	0.6334142036
5	0.6243220754
6	0.6156547373
7	0.6052770904
8	0.5997113721
9	0.594727195
10	0.5896682202
11	0.5873433989
12	0.5835953234
13	0.5798321461
14	0.5747077824
15	0.5703117489
16	0.5655335031
17	0.5610540929
18	0.5557777615
19	0.5536035639
20	0.5489745975
21	0.5458547922
22	0.5429262512
23	0.5385189901
24	0.5321551646
25	0.5265374198
26	0.5245170084
27	0.5226620852
28	0.5199897228
29	0.5151339119
30	0.513572922
31	0.509892212
